Configuration	STM32MP157DAA
STM32CubeMX 	6.0.1
Date	10/21/2020
MCU	STM32MP157DAAx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN0 Single-ended	ADC1_INP0	ANA0
ADC1	IN1 Single-ended	ADC1_INP1	ANA1
DAC1	Connected to external pin only	DAC1_OUT1	PA4
DAC1	Connected to external pin only	DAC1_OUT2	PA5
DCMI	Slave 8 bits External Synchro	DCMI_D0	PH9
DCMI	Slave 8 bits External Synchro	DCMI_D1	PC7
DCMI	Slave 8 bits External Synchro	DCMI_D2	PH11
DCMI	Slave 8 bits External Synchro	DCMI_D3	PE1
DCMI	Slave 8 bits External Synchro	DCMI_D4	PH14
DCMI	Slave 8 bits External Synchro	DCMI_D5	PI4
DCMI	Slave 8 bits External Synchro	DCMI_D6	PE13
DCMI	Slave 8 bits External Synchro	DCMI_D7	PI7
DCMI	Slave 8 bits External Synchro	DCMI_HSYNC	PH8
DCMI	Slave 8 bits External Synchro	DCMI_PIXCLK	PA6
DCMI	Slave 8 bits External Synchro	DCMI_VSYNC	PI5
DDR	DDR3 / DDR3L	DDR_DDR3	VP_DDR_DDR3
DDR	DDR3 / DDR3L	DDR_A0	DDR_A0
DDR	DDR3 / DDR3L	DDR_A1	DDR_A1
DDR	DDR3 / DDR3L	DDR_A2	DDR_A2
DDR	DDR3 / DDR3L	DDR_A3	DDR_A3
DDR	DDR3 / DDR3L	DDR_A4	DDR_A4
DDR	DDR3 / DDR3L	DDR_A5	DDR_A5
DDR	DDR3 / DDR3L	DDR_A6	DDR_A6
DDR	DDR3 / DDR3L	DDR_A7	DDR_A7
DDR	DDR3 / DDR3L	DDR_A8	DDR_A8
DDR	DDR3 / DDR3L	DDR_A9	DDR_A9
DDR	DDR3 / DDR3L	DDR_A10	DDR_A10
DDR	DDR3 / DDR3L	DDR_A11	DDR_A11
DDR	DDR3 / DDR3L	DDR_ATO	DDR_ATO
DDR	DDR3 / DDR3L	DDR_BA0	DDR_BA0
DDR	DDR3 / DDR3L	DDR_BA1	DDR_BA1
DDR	DDR3 / DDR3L	DDR_BA2	DDR_BA2
DDR	DDR3 / DDR3L	DDR_CASN	DDR_CASN
DDR	DDR3 / DDR3L	DDR_CKE	DDR_CKE
DDR	DDR3 / DDR3L	DDR_CLKN	DDR_CLKN
DDR	DDR3 / DDR3L	DDR_CLKP	DDR_CLKP
DDR	DDR3 / DDR3L	DDR_CSN	DDR_CSN
DDR	DDR3 / DDR3L	DDR_DQ0	DDR_DQ0
DDR	DDR3 / DDR3L	DDR_DQ1	DDR_DQ1
DDR	DDR3 / DDR3L	DDR_DQ2	DDR_DQ2
DDR	DDR3 / DDR3L	DDR_DQ3	DDR_DQ3
DDR	DDR3 / DDR3L	DDR_DQ4	DDR_DQ4
DDR	DDR3 / DDR3L	DDR_DQ5	DDR_DQ5
DDR	DDR3 / DDR3L	DDR_DQ6	DDR_DQ6
DDR	DDR3 / DDR3L	DDR_DQ7	DDR_DQ7
DDR	DDR3 / DDR3L	DDR_DQ8	DDR_DQ8
